chrX	15705200	15705201	chrX	15705200	15705201	38.0	38.0	1.0
chrX	15705200	15705201	chrX	15705200	15705201	38.0	38.0	1.0
chrX	86750672	86750673	chrX	86750672	86750673	15.0	15.0	1.0
chrX	86750940	86750941	chrX	86750940	86750941	10.0	10.0	1.0
chrX	43034819	43034820	chrX	43034819	43034820	55.0	55.0	1.0
chrX	147054400	147054401	chrX	147054400	147054401	17.0	17.0	1.0
chrX	147054504	147054505	chrX	147054504	147054505	36.0	36.0	1.0
chrX	147054527	147054528	chrX	147054527	147054528	37.0	37.0	1.0
chrX	147054535	147054536	chrX	147054535	147054536	37.0	37.0	1.0
chrX	147054564	147054565	chrX	147054564	147054565	27.0	27.0	1.0
chrX	114330876	114330877	chrX	114330876	114330877	10.0	10.0	1.0
